TagName,Edu Standard,TM Standard Name,Grade
EDUM-291,5.G.A.1,Ordered Pairs and Figures,5
EDUM-292,5.G.A.1,Plotting Points on a Coordinate Plane,5
EDUM-293,5.G.A.2,Interpret Ordered Pairs in the Context of a Situation,5
EDUM-294,5.G.B.3,Categorizing 2D Shapes (Exclusive Definition of Trapezoid),5
EDUM-295,5.G.B.3,Categorizing 2D Shapes (Inclusive Definition of Trapezoid),5
EDUM-296,5.G.B.4,Hierarchies of 2D Shapes (Exclusive Definition of Trapezoid),5
EDUM-297,5.G.B.4,Hierarchies of 2D Shapes (Inclusive Definition of Trapezoid),5
EDUM-298,5.MD.A.1,Classifying Units of Measure,5
EDUM-299,5.MD.A.1,Convert Customary or Metric Units,5
EDUM-300,5.MD.B.2,Solving Problems with Fractional Data on Line Plots,5
EDUM-301,5.MD.C.3.a,Understand the Relationship: Cubic Units and Volume,5
EDUM-302,5.MD.C.3.b,Finding Volume of Solid Figures Using Unit Cubes,5
EDUM-303,5.MD.C.4,Measuring Volume by Counting Unit Cubes,5
EDUM-304,5.MD.C.5.a,Find the Volume of Rectangular Prisms Using Unit Cubes,5
EDUM-305,5.MD.C.5.b,Find the Volume of Rectangular Prisms Using a Formula,5
EDUM-306,5.MD.C.5.c,Find the Volume of Composite Figures,5
EDUM-307,5.NBT.A.1,Expressing Multi-Digit Whole Numbers,5
EDUM-308,5.NBT.A.1,Place Value and Multi-Digit Decimals,5
EDUM-309,5.NBT.A.1,Place Value and Multi-Digit Whole Numbers,5
EDUM-310,5.NBT.A.2,"Decimals, Whole Numbers, and Powers of 10",5
EDUM-311,5.NBT.A.2,Whole Numbers and Powers of 10,5
EDUM-312,5.NBT.A.3.a,Expressing Place Value Through Thousandths,5
EDUM-313,5.NBT.A.3.b,Comparing and Ordering Multi-Digit Decimals,5
EDUM-314,5.NBT.A.4,Rounding Multi-Digit Decimals,5
EDUM-315,5.NBT.B.5,Multiplication with Multi-Digit Whole Numbers,5
EDUM-316,5.NBT.B.6,Dividing Whole Numbers,5
EDUM-317,5.NBT.B.7,Addition of Decimals to the Hundredths,5
EDUM-318,5.NBT.B.7,Division of Decimals to the Hundredths,5
EDUM-319,5.NBT.B.7,Multiplication of Decimals to the Hundredths,5
EDUM-320,5.NBT.B.7,Subtraction of Decimals to the Hundredths,5
EDUM-321,5.NF.A.1,Adding Fractions and Mixed Numbers with Unlike Denominators,5
EDUM-322,5.NF.A.1,Adding Fractions with Unlike Denominators,5
EDUM-323,5.NF.A.1,Finding Equivalent Fractions,5
EDUM-324,5.NF.A.1,Finding Equivalent Mixed Numbers,5
EDUM-325,5.NF.A.1,Relating Mixed Numbers & Fractions Greater than One,5
EDUM-326,5.NF.A.1,Subtracting Fractions with Unlike Denominators,5
EDUM-327,5.NF.A.1,Subtracting Mixed Numbers with Unlike Denominators,5
EDUM-328,5.NF.A.2,Add and Subtract Fractions with Visual Models,5
EDUM-329,5.NF.A.2,Word Problems: Add & Subtract Fractions with Like Denominators,5
EDUM-330,5.NF.A.2,Word Problems: Add & Subtract Fractions with Unlike Denominators,5
EDUM-331,5.NF.B.3,Divide Whole Numbers with Fractional Quotients: Visual Models,5
EDUM-332,5.NF.B.3,Expressing Division Problems,5
EDUM-333,5.NF.B.4.a,Multiply a Fraction by a Fraction,5
EDUM-334,5.NF.B.4.a,Multiply a Mixed Number by a Fraction or a Mixed Number,5
EDUM-335,5.NF.B.4.a,Multiply a Whole Number by a Fraction or a Mixed Number,5
EDUM-336,5.NF.B.4.b,Area of Rectangles with Fractional Side Lengths,5
EDUM-337,5.NF.B.5.a,Comparing Products,5
EDUM-338,5.NF.B.5.b,Effects of Multiplying by a Fraction,5
EDUM-339,5.NF.B.6,Multiplying Mixed Numbers by Fractions and Mixed Numbers,5
EDUM-340,5.NF.B.6,Multiplying Two Fractions,5
EDUM-341,5.NF.B.6,Multiplying Whole Numbers and Fractions,5
EDUM-342,5.NF.B.6,Multiplying Whole Numbers and Mixed Numbers,5
EDUM-343,5.NF.B.7.a,Division of Unit Fractions by Whole Numbers,5
EDUM-344,5.NF.B.7.b,Division of Whole Numbers by Unit Fractions,5
EDUM-345,5.NF.B.7.c,Word Problems: Divide Unit Fractions & Whole Numbers,5
EDUM-346,5.OA.A.1,Evaluate Numerical Expressions,5
EDUM-347,5.OA.A.1,Evaluate Numerical Expressions: Advanced,5
EDUM-348,5.OA.A.2,Writing Numerical Expressions,5
EDUM-349,5.OA.B.3,Finding Rules that Represent Patterns,5
