TagName,Edu Standard,TM Standard Name,Grade
EDUM-161,3.G.A.1,Identifying Quadrilaterals,3
EDUM-162,3.G.A.1,Partitioned Shapes,3
EDUM-163,3.MD.A.1,Addition & Subtraction of Time Intervals,3
EDUM-164,3.MD.A.1,Identifying Time Using Clocks,3
EDUM-165,3.MD.A.2,Estimating & Measuring Volume and Mass,3
EDUM-166,3.MD.A.2,Word Problems Involving Mass and Volume,3
EDUM-167,3.MD.B.3,Solving Problems With Scaled Bar Graphs,3
EDUM-168,3.MD.B.3,Solving Problems with Scaled Picture Graphs,3
EDUM-169,3.MD.B.4,Representing Data Sets That Involve Length,3
EDUM-170,3.MD.C.5.a,Find Areas of Squares and Rectangles with Unit Squares,3
EDUM-171,3.MD.C.5.b,Comparing Areas,3
EDUM-172,3.MD.C.6,Identifying Area of Rectangles Made up of Unit Squares,3
EDUM-173,3.MD.C.7.a,"Length, Width, and Area",3
EDUM-174,3.MD.C.7.b,Multiplying to Find the Area of Rectangles,3
EDUM-175,3.MD.C.7.c,Area Models and the Distributive Property,3
EDUM-176,3.MD.C.7.d,Decomposing Rectilinear Figures to Find the Area,3
EDUM-177,3.MD.D.8,Identifying Perimeter Mathematically,3
EDUM-178,3.MD.D.8,Using Perimeter in Word Problems,3
EDUM-179,3.NBT.A.1,Place Value and Rounding to the 10s and 100s,3
EDUM-180,3.NBT.A.1,Rounding and Word Problems,3
EDUM-181,3.NBT.A.1,Rounding Using Number Lines and Rounding Hills,3
EDUM-182,3.NBT.A.2,Adding in Equations,3
EDUM-183,3.NBT.A.2,Addition and Subtraction (Mixed Practice),3
EDUM-184,3.NBT.A.2,Subtraction,3
EDUM-185,3.NBT.A.3,Multiplication by Multiples of 10,3
EDUM-186,3.NF.A.1,Advanced Sets and Groups,3
EDUM-187,3.NF.A.1,Fractions and Area Models,3
EDUM-188,3.NF.A.1,Fractions and Length Models,3
EDUM-189,3.NF.A.1,Introduction to Set Models,3
EDUM-190,3.NF.A.2.a,Fractions with Number Lines 0-1,3
EDUM-191,3.NF.A.2.b,Fractions with Number Lines 0-4,3
EDUM-192,3.NF.A.3.a,Equivalent Fractions,3
EDUM-193,3.NF.A.3.b,Simple Equivalent Fractions,3
EDUM-194,3.NF.A.3.c,Whole Numbers as Fractions,3
EDUM-195,3.NF.A.3.d,Comparing Fractions,3
EDUM-196,3.OA.A.1,Multiplication Sentences and Word Problems,3
EDUM-197,3.OA.A.1,Relating Multiplication and Addition,3
EDUM-198,3.OA.A.2,Relate Division and Subtraction,3
EDUM-199,3.OA.A.2,Understanding Division and Word Problems,3
EDUM-200,3.OA.A.3,Solving Division Visually,3
EDUM-201,3.OA.A.3,Solving Multiplication and Division Verbally,3
EDUM-202,3.OA.A.3,Solving Multiplication Visually,3
EDUM-203,3.OA.A.4,"Identifying Missing Divisors, Dividends, and Equations",3
EDUM-204,3.OA.A.4,Identifying Missing Factors and Equations: Multiplication,3
EDUM-205,3.OA.A.4,Related Multiplication and Division Facts,3
EDUM-206,3.OA.B.5,Applying Properties of Operations,3
EDUM-207,3.OA.B.5,Associative Property,3
EDUM-208,3.OA.B.5,Commutative Property,3
EDUM-209,3.OA.B.5,Distributive Property,3
EDUM-210,3.OA.B.5,Identity and Zero Property,3
EDUM-211,3.OA.B.6,Relating Division to Multiplication,3
EDUM-212,3.OA.B.6,Solve Division Problems with Visuals and Word Problems,3
EDUM-213,3.OA.C.7,Applying Multiplication Strategies,3
EDUM-214,3.OA.C.7,Doubles and Halves (Division Problems),3
EDUM-215,3.OA.C.7,Fluently Solve Division Problems,3
EDUM-216,3.OA.C.7,Fluently Solve Multiplication Problems,3
EDUM-217,3.OA.D.8,Solving Word Problems Using Equations & Estimation,3
EDUM-218,3.OA.D.9,Identify Arithmetic Patterns Using Multiplication Tables,3
EDUM-219,3.OA.D.9,Identifying Arithmetic Patterns Using a Hundreds Chart,3
EDUM-220,3.OA.D.9,Identifying Arithmetic Patterns Using Addition Tables,3
EDUM-221,3.OA.D.9,Identifying Patterns,3
